AUTO_AUDIT,STATUS_DECOMP,MANUALAUDIT,MANUALSTATUS,FASTQFILENAME,RUNNUMBER,LIBRARYDATE,GENOTYPE1,STRAIN,PROTEIN_CODING_TOTAL,NOT_ALIGNED_TOTAL_PERCENT,INTERQUARTILE_RANGE,ABS_SAMPLE_DEVIATION_MEDIAN,GENOTYPE1_COVERAGE,GENOTYPE1_LOG2CPM,NAT_COVERAGE,NAT_LOG2CPM,G418_COVERAGE,G418_LOG2CPM
0,None,NA,NA,run_769_s_2_withindex_sequence_GGCAAGA.fastq.gz,769,09.06.12,CNAG_05431,TDY1208,1962023,0.01852219777769,0.24514486035785676,0,0,6.66951931738829,0.915841584158416,6.94888794239782,0,0.004077201572601
0,None,NA,NA,run_769_s_2_withindex_sequence_GATGGCC.fastq.gz,769,09.06.12,CNAG_05431,TDY1208,1533943,0.020941789621523,0.19057185226294138,0,0.018175209014904,6.65248126209515,0.915841584158416,6.79132668083215,0,0.004077201572601
0,None,NA,NA,run_769_s_2_withindex_sequence_AGGCGAA.fastq.gz,769,09.06.12,CNAG_05431,TDY1208,1433204,0.023536333410034,0.23846595798511938,0,0.02835332606325,6.82596396595103,0.952145214521452,6.60722982693299,0,0.004077201572599
1,[3.0],0,NA,s_4_withindex_sequence_1208_37.fastq.gz,468,02.05.11,CNAG_05431,TDY1208,1602368,0.018579322563434,0.5291303686040338,0,0.030534351145038,4.94482404394798,0.739273927392739,3.63046754482905,0.052830188679245,0.89672013518195
0,None,NA,NA,run_684_s_6_withindex_sequence_GACACAG.fastq.gz,684,03.26.12,CNAG_05431,TDY1208,3547928,0.016940855084125,0.2411634659307076,0,0.066157760814249,5.85957202471475,0.864686468646865,6.27249856946026,0.113207547169811,0.295907320994509
0,None,NA,NA,run_684_s_6_withindex_sequence_AGGACCT.fastq.gz,684,03.26.12,CNAG_05431,TDY1208,2459570,0.02490528681989,0.30018080065528263,0,0.181025081788441,5.76396940099025,0.909240924092409,6.66750761094412,0.062893081761006,0.086573034420145
0,None,NA,NA,run_684_s_6_withindex_sequence_TTTTCGG.fastq.gz,684,03.26.12,CNAG_05431,TDY1208,3299671,0.022812927229931,0.30401360102043284,0,0.210468920392584,5.46359521119133,0.917491749174918,6.56124306769323,0.109433962264151,0.361475609437964
1,"[3.0, 0.0]",1,[128],s_7_withindex_sequence_GACACAG.fastq.gz,648,01.30.12,CNAG_05431,TDY1208,574616,0.042125000533291,NA,NA,0.015267175572519,6.05198164002774,0.422442244224423,4.60903634149229,0,1.33337713542793
1,"[3.0, 0.0]",1,"[1,128]",s_7_withindex_sequence_AGGACCT.fastq.gz,648,01.30.12,CNAG_05431,TDY1208,393436,0.047228199440097,NA,NA,0.00945110868775,6.727147963833,0.45049504950495,5.49024941490575,0.050314465408805,2.37066623197069
1,"[3.0, 0.0]",1,[128],s_7_withindex_sequence_TTTTCGG.fastq.gz,648,01.30.12,CNAG_05431,TDY1208,424069,0.025185423612576,NA,NA,0.01126862958924,6.18622633371785,0.32013201320132,5.02891101419166,0,1.33337713542793
