AUTO_AUDIT,STATUS_DECOMP,MANUALAUDIT,MANUALSTATUS,FASTQFILENAME,RUNNUMBER,LIBRARYDATE,GENOTYPE1,STRAIN,PROTEIN_CODING_TOTAL,NOT_ALIGNED_TOTAL_PERCENT,INTERQUARTILE_RANGE,ABS_SAMPLE_DEVIATION_MEDIAN,GENOTYPE1_COVERAGE,GENOTYPE1_LOG2CPM,NAT_COVERAGE,NAT_LOG2CPM,G418_COVERAGE,G418_LOG2CPM
0,None,1,[128],s_2_withindex_sequence_cir1_1_37CO2.fastq.gz,480,03.10.11,CNAG_04864,TDY1145,2841291,0.027254619375916,0.43353350356325837,0.0013065766332225337,0,8.30650752959054,0.935643564356436,6.02001399410828,0,-0.232666281994745
0,None,1,[128],s_2_withindex_sequence_cir1_2_37CO2.fastq.gz,480,03.10.11,CNAG_04864,TDY1145,2469432,0.028947708763362,0.5163141622285883,0.03128195015805879,0,8.13634361335903,0.900990099009901,5.76950409004111,0,-0.232666281994745
0,None,0,NA,run_659_s_3_withindex_sequence_TGTGCCA.fastq.gz,659,02.13.12,CNAG_04864,TDY1145,3428208,0.017935206588031,0.4226298136461164,0,0.029380902413431,8.75313089520718,0.896039603960396,7.24020096481345,0,-0.2725785838643
0,None,0,NA,run_659_s_3_withindex_sequence_AACGGAG.fastq.gz,659,02.13.12,CNAG_04864,TDY1145,1686774,0.014111283036353,0.4646537416103742,0,0.025183630640084,8.55968203317073,0.882838283828383,7.86975082127694,0.052830188679245,0.532135725725348
0,None,0,NA,run_659_s_3_withindex_sequence_GATAGTT.fastq.gz,659,02.13.12,CNAG_04864,TDY1145,2912428,0.021375031791073,0.34426671923863594,0,0.028681357117873,8.48592804791814,0.87953795379538,7.53322980713329,0.09559748427673,0.627965954359786
0,None,NA,NA,run_1660_s_4_withindex_sequence_CACCTCC.fastq.gz,1660,08.10.15,CNAG_04864,TDY1145,15580022,0.036169702830702,0.22637949229163468,0,0.096537250786989,8.25466312320237,0.8003300330033,8.02952784870411,0.69811320754717,0.452739882326066
0,None,NA,NA,run_1660_s_4_withindex_sequence_ATCGAGC.fastq.gz,1660,08.10.15,CNAG_04864,TDY1145,6503942,0.037408686596895,0.23186481356907152,0,0.034977264777894,8.09195321033665,0.813531353135314,8.48549396878027,0.125786163522013,-0.934442518059112
0,None,NA,NA,run_1660_s_4_withindex_sequence_TACTCTA.fastq.gz,1660,08.10.15,CNAG_04864,TDY1145,8008692,0.034404908013799,0.33087486854663695,0.011238733853160099,0.017488632388947,8.78323643250275,0.806930693069307,8.44454794746121,0.125786163522013,-1.1162932433050201
1,[0.0],1,[128],s_4_sequence_G1p.fastq.gz,314,04.20.10,CNAG_04864,TDY1145,861889,0.018429694392537,NA,NA,0,9.33172345910432,0.920792079207921,6.88009372693828,0,0.678527580161427
1,[0.0],1,[128],s_4_sequence_G2p.fastq.gz,314,04.20.10,CNAG_04864,TDY1145,532755,0.013678695253347,NA,NA,0,9.26344145803066,0.623762376237624,5.29614144449921,0,0.678527580161427
0,None,NA,NA,1800_Brent_4_CACCTCC_S4_R1_001.fastq.gz,1800,10.04.16,CNAG_04864,TDY1145,4822158,0.021230295758702,0.5988611145527045,0.11491429378445295,0.049317943336831,7.84904597948703,0.793729372937294,9.08183382988851,0.350943396226415,0.412579142649272
0,None,NA,NA,1800_Brent_5_ATCGAGC_S5_R1_001.fastq.gz,1800,10.04.16,CNAG_04864,TDY1145,4730437,0.026224519403883,0.5731060214379853,0.11033305353894463,0.096537250786989,7.8019958162372,0.803630363036304,9.39386561042566,0.866666666666667,2.36558395493123
0,None,NA,NA,1800_Brent_6_TACTCTA_S6_R1_001.fastq.gz,1800,10.04.16,CNAG_04864,TDY1145,7077932,0.027256500866487,0.5654040909101576,0.13210192316689806,0,8.0118911488952,0.787128712871287,9.29765735674449,0.967295597484277,2.50084852664303
