AUTO_AUDIT,STATUS_DECOMP,MANUALAUDIT,MANUALSTATUS,FASTQFILENAME,RUNNUMBER,LIBRARYDATE,GENOTYPE1,STRAIN,PROTEIN_CODING_TOTAL,NOT_ALIGNED_TOTAL_PERCENT,INTERQUARTILE_RANGE,ABS_SAMPLE_DEVIATION_MEDIAN,GENOTYPE1_COVERAGE,NAT_COVERAGE,NAT_LOG2CPM,G418_COVERAGE,G418_LOG2CPM
0,None,NA,NA,1874_Brent_40_GTACGGC_S40_R1_001.fastq.gz,1874,11.10.16,CNAG_03115,TDY1970,8561980,0.05152119494138325,0.22492669420220812,0.0167691249870332,0.11611111111111111,0.8151815181518152,8.07578531773601,0.6842767295597484,0.9623678191924036
0,None,NA,NA,1874_Brent_41_TTGCCCC_S41_R1_001.fastq.gz,1874,11.10.16,CNAG_03115,TDY1970,8857273,0.027200113952399955,0.17212570136577998,0.022217880603895068,0.041666666666666664,0.8201320132013201,7.681581423277413,0.42515723270440253,-0.018605067397871024
0,None,NA,NA,1874_Brent_42_ACTCCAA_S42_R1_001.fastq.gz,1874,11.10.16,CNAG_03115,TDY1970,6539063,0.05272040545898162,0.5115361619631971,0.02428711351424173,0.041666666666666664,0.8399339933993399,7.768670400049067,0.5018867924528302,0.5060913069456429
1,[4.0],1,[128],2002_Brent_TT_GGTGAAT_S47_R1_001.fastq.gz,2002,02.10.17,CNAG_03115,TDY1948,5733130,0.019775476805552895,NA,NA,0.08055555555555556,0.6584158415841584,1.55291903763564,0.7987421383647799,8.123977053377395
1,[4.0],1,[128],2002_Brent_UU_ATGTTCT_S48_R1_001.fastq.gz,2002,02.10.17,CNAG_03115,TDY1948,5836308,0.02884347253137755,NA,NA,0.11722222222222223,0.8976897689768977,1.4417830836888903,0.8628930817610063,8.153125030430635
1,[4.0],1,[128],2002_Brent_VV_GTAAAAA_S49_R1_001.fastq.gz,2002,02.10.17,CNAG_03115,TDY1948,4867662,0.04313584373519512,NA,NA,0.14555555555555555,0.6386138613861386,0.8123459664372352,0.8276729559748428,8.326004789355867
1,[2.0],1,[4],3016_Brent_TDY2099_GCCTCCC_S44_R1_001.fastq.gz,3016,07.06.18,CNAG_03115,TDY1948,4740203,0.017475549220075756,NA,NA,0.9127777777777778,0.12376237623762376,-0.7261615414841648,0.8490566037735849,9.185648498917775
0,None,NA,NA,Brent_1601_30_CTGGTGG_S29_R1_001.fastq.gz,1601,06.09.16,CNAG_03115,TDY1948,13726190,0.013117415675634195,0.16754379425047006,0.0014276759567177777,0,0.45874587458745875,-1.0369499921796728,0.7823899371069183,8.470255718563601
0,None,NA,NA,Brent_1601_31_TGCCCAT_S30_R1_001.fastq.gz,1601,06.09.16,CNAG_03115,TDY1948,10584317,0.011716278936137426,0.1631911929236205,0.019684472032565736,0.03777777777777778,0,-2.350751203014026,0.8176100628930818,8.43606946820618
0,None,NA,NA,Brent_1601_32_AAACCTT_S31_R1_001.fastq.gz,1601,06.09.16,CNAG_03115,TDY1948,8598957,0.010400137632466151,0.19154405544236075,0.001530641617234707,0.03944444444444444,0.11716171617161716,-1.6790158034929064,0.8163522012578617,8.519061729406932
